prefix,target,model,mode,loss,Baseline-prev,Baseline-horizon,horizon,return_no_interest,return_interest,set,is_better
BA,log_return_5,NBEATSx,news,0.93,0.96,0.91,5,-0.0018304087483719104,-0.005846404283907045,test,1
BA,log_return_5,NHITS,news,0.72,0.96,0.91,5,0.007161183515923441,0.003145161962071292,test,0
BA,log_return_5,TFT,news,0.92,0.96,0.91,5,0.0007063490140030833,-0.003308577241463935,test,1
BA,log_return_5,NBEATSx,financial_and_news,0.89,0.96,0.91,5,0.005039570239876935,0.001012574479323857,test,0
BA,log_return_5,NHITS,financial_and_news,0.87,0.96,0.91,5,0.0016429764166300317,-0.0023792461003492664,test,0
BA,log_return_5,TFT,financial_and_news,0.92,0.96,0.91,5,-0.0003868038567716713,-0.004398895051111046,test,1
TSLA,log_return_1,NBEATSx,financial,0.61,0.62,0.63,5,,,val,0
TSLA,log_return_1,NHITS,financial,0.77,0.62,0.63,5,,,val,1
TSLA,log_return_1,TFT,financial,0.73,0.62,0.63,5,,,val,1
TSLA,log_return_1,NBEATSx,news,0.6,0.62,0.63,5,,,val,0
TSLA,log_return_1,NHITS,news,0.62,0.62,0.63,5,,,val,0
TSLA,log_return_1,TFT,news,0.73,0.62,0.63,5,,,val,1
TSLA,log_return_1,NBEATSx,financial_and_news,0.75,0.62,0.63,5,,,val,1
TSLA,log_return_1,NHITS,financial_and_news,0.66,0.62,0.63,5,,,val,1
TSLA,log_return_1,TFT,financial_and_news,0.73,0.62,0.63,5,,,val,1
TSLA,log_return_1,NBEATSx,financial,0.66,0.43,0.52,5,,,test,1
TSLA,log_return_1,NHITS,financial,0.54,0.43,0.52,5,,,test,1
TSLA,log_return_1,TFT,financial,0.32,0.43,0.52,5,,,test,0
TSLA,log_return_1,NBEATSx,news,0.62,0.43,0.52,5,,,test,1
TSLA,log_return_1,NHITS,news,0.62,0.43,0.52,5,,,test,1
TSLA,log_return_1,TFT,news,0.42,0.43,0.52,5,,,test,0
TSLA,log_return_1,NBEATSx,financial_and_news,0.62,0.43,0.52,5,,,test,1
TSLA,log_return_1,NHITS,financial_and_news,0.56,0.43,0.52,5,,,test,1
TSLA,log_return_1,TFT,financial_and_news,0.3,0.43,0.52,5,,,test,0
TSLA,log_return_5,NBEATSx,financial,0.82,0.86,0.73,5,0.0024858244006722954,-0.0015693188758722399,val,1
TSLA,log_return_5,NHITS,financial,0.75,0.86,0.73,5,0.007850793722299451,0.003829407128050669,val,1
TSLA,log_return_5,TFT,financial,0.73,0.86,0.73,5,0.004276075262973152,0.0002490575273947713,val,0
TSLA,log_return_5,NBEATSx,news,0.73,0.86,0.73,5,0.0023616976142811154,-0.0016485695972401511,val,0
TSLA,log_return_5,NHITS,news,0.7,0.86,0.73,5,-0.001417641278148607,-0.0054632538516635205,val,0
TSLA,log_return_5,TFT,news,0.67,0.86,0.73,5,0.0008489940220928738,-0.0031765071229414503,val,0
TSLA,log_return_5,NBEATSx,financial_and_news,0.72,0.86,0.73,5,0.0048660598779855305,0.0008353357255400581,val,0
TSLA,log_return_5,NHITS,financial_and_news,0.67,0.86,0.73,5,0.005512493563143561,0.0014831005474139607,val,0
TSLA,log_return_5,TFT,financial_and_news,0.69,0.86,0.73,5,6.464316925712443e-05,-0.003948358812494993,val,0
TSLA,log_return_5,NBEATSx,financial,0.7,0.83,0.65,5,-0.02070277349265946,-0.02473492828544731,test,1
TSLA,log_return_5,NHITS,financial,0.71,0.83,0.65,5,0.0002793367294372011,-0.003749809439971717,test,1
TSLA,log_return_5,TFT,financial,0.6,0.83,0.65,5,-0.013658564689490364,-0.017682579481878298,test,0
TSLA,log_return_5,NBEATSx,news,0.49,0.83,0.65,5,0.006624835083976028,0.002599854279071269,test,0
TSLA,log_return_5,NHITS,news,0.63,0.83,0.65,5,-0.005685731933401451,-0.009706930634269811,test,0
TSLA,log_return_5,TFT,news,0.43,0.83,0.65,5,-0.016257340971060904,-0.020275950023545552,test,0
TSLA,log_return_5,NBEATSx,financial_and_news,0.58,0.83,0.65,5,-0.009036435425953672,-0.013060290606516221,test,0
TSLA,log_return_5,NHITS,financial_and_news,0.61,0.83,0.65,5,-0.007902252029899647,-0.011932181514538396,test,0
TSLA,log_return_5,TFT,financial_and_news,0.28,0.83,0.65,5,-0.01346898396970353,-0.017495973823967035,test,0
BTC-USD,log_return_1,NBEATSx,financial,0.76,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NHITS,financial,0.76,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,TFT,financial,0.84,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NBEATSx,news,0.71,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NHITS,news,0.64,0.59,0.66,7,,,val,0
BTC-USD,log_return_1,TFT,news,0.84,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NBEATSx,financial_and_news,0.78,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NHITS,financial_and_news,0.81,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,TFT,financial_and_news,0.52,0.59,0.66,7,,,val,0
BTC-USD,log_return_1,NBEATSx,financial,0.34,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,NHITS,financial,0.3,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,TFT,financial,0.68,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,NBEATSx,news,0.27,0.46,0.27,7,,,test,0
