title,url,summary,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,time_published
"U.S. voids class action against Boeing, Southwest over MAX 8 safety",https://www.reuters.com/business/aerospace-defense/us-voids-class-action-against-boeing-southwest-over-max-8-safety-2022-11-21/,"Nov 21 ( Reuters ) - A U.S. appeals court on Monday decertified a class-action lawsuit accusing Boeing Co and Southwest Airlines Co ( LUV.N ) of concealing a serious safety defect in the Boeing 737 MAX 8 plane, and ordered the lawsuit be dismissed. The 5th U.S.",-0.253409,Somewhat-Bearish,,-0.532111,Bearish,20221121T200900
Futures Fall; Disney Spikes As Bob Iger Returns,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-market-rally-faces-key-test-disney-spikes-as-bob-iger-returns-as-ceo/,Futures Fall. Disney Spikes As Bob Iger Returns Investor's Business Daily ...,0.053554,Neutral,,0.162709,Somewhat-Bullish,20221121T132200
Air Canada Launches Live TV Onboard Select Domestic Flights,https://www.newswire.ca/news-releases/air-canada-launches-live-tv-onboard-select-domestic-flights-827007274.html,"• Six Canadian national sports and news channels in English and French • Customers can watch exciting live sports on TSN and RDS, including soccer, hockey, football, golf, basketball and more, plus national, world, and business news • 55% of mainline aircraft to be Live TV-enabled by the second ...",0.274336,Somewhat-Bullish,,0.151203,Somewhat-Bullish,20221121T130000
Air Canada Launches Live TV Onboard Select Domestic Flights - Air Canada  ( OTC:ACDVF ) ,https://www.benzinga.com/pressreleases/22/11/n29802547/air-canada-launches-live-tv-onboard-select-domestic-flights,"Six Canadian national sports and news channels in English and French Customers can watch exciting live sports on TSN and RDS, including soccer, hockey, football, golf, basketball and more, plus national, world, and business news 55% of mainline aircraft to be Live TV-enabled by the second ...",0.285243,Somewhat-Bullish,,0.143691,Neutral,20221121T130000
Ryanair announced 5 new routes from Paphos airport,https://www.stockwatch.com.cy/en/article/sygkoinonies-erga-toyrismos/ryanair-announced-5-new-routes-paphos-airport,"Ryanair on Monday announced its biggest ever Cyprus schedule with 41 routes for Summer '23, including 5 new routes from Paphos to destinations, such as Naples and Toulouse.",0.28103,Somewhat-Bullish,,0.141731,Neutral,20221121T124506
Ryanair announces biggest ever Cyprus summer schedule,https://www.stockwatch.com.cy/en/article/emporika-nea/ryanair-announces-biggest-ever-cyprus-summer-schedule,"Ryanair, Europe's no. 1 airline, today ( 21 Nov ) announced its biggest ever Cyprus schedule with 41 routes for Summer '23, including 5 new routes from Paphos to exciting destinations, such as Naples and Toulouse.",0.271721,Somewhat-Bullish,,0.164937,Somewhat-Bullish,20221121T120532
Old planes and wet leases drive new beginnings for India's airlines,https://www.moneycontrol.com/news/business/old-planes-and-wet-leases-drive-new-beginnings-for-indias-airlines-9573271.html,"Air India, Vistara and Indigo are looking at a mix of wet and dry aircraft leases as they seek to expand operations ...",0.075668,Neutral,,0.068148,Neutral,20221121T081246
"Start your week smart: Snowstorm, LGBTQ nightclub shooting, Climate, Twitter, Biden",https://www.cnn.com/2022/11/20/us/five-things-november-20-trnd/index.html,"Start your week smart: Snowstorm, LGBTQ nightclub shooting, Climate, Twitter, ...",0.116418,Neutral,,-0.144513,Neutral,20221120T135500
Why Are Automotive Chips Still In Short Supply?,https://www.forbes.com/sites/willyshih/2022/11/20/why-are-automotive-chips-still-in-short-supply/,"There are many reasons so many semiconductor chips are used in cars, and the need for special qualification processes means shortages will take longer to abate.",0.040406,Neutral,,0.060429,Neutral,20221120T130004
Boeing  ( NYSE:BA )  Downgraded by StockNews.com,https://www.etfdailynews.com/2022/11/20/boeing-nyseba-downgraded-by-stocknews-com/,"Boeing ( NYSE:BA - Get Rating ) was downgraded by research analysts at StockNews.com from a ""hold"" rating to a ""sell"" rating in a research report issued to clients and investors on Sunday.",0.284657,Somewhat-Bullish,,0.47012,Bullish,20221120T081044
Market Rally Faces Resistance; 4 Dow Stocks In Focus,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-market-rally-faces-key-resistance-time-to-buy-apple-stock-or-short/,Dow Jones Futures: Market Rally Faces Key Resistance. Time To Buy Apple Stock - Or Short? | Investor's Business Daily Investor's Business Daily ...,0.126636,Neutral,,0.186867,Somewhat-Bullish,20221120T025300
"Restructuring Exercise - 'Historic' orders with Boeing, Airbus soon: Air India | The Financial Express",https://www.financialexpress.com/industry/restructuring-exercise-historic-orders-with-boeing-airbus-soon-air-india/2859102/,"Restructuring Exercise - 'Historic' orders with Boeing, Airbus soon: Air India The Financial Express ...",0.1497,Neutral,,0.011252,Neutral,20221120T003000
Could Amazon Be on the Brink of a Huge Mistake?,https://www.fool.com/investing/2022/11/19/could-amazon-be-on-the-brink-of-a-huge-mistake/,Amazon wants to spend $10 billion to build its own satellite constellation -- and may have to pay SpaceX to help.,-0.009506,Neutral,,0.054505,Neutral,20221119T120600
"Air India in talks with Airbus, Boeing to buy planes, says CEO",https://www.reuters.com/business/aerospace-defense/air-india-talks-with-airbus-boeing-buy-planes-says-ceo-2022-11-19/,"NEW DELHI, Nov 19 ( Reuters ) - Tata Group-owned Air India is in talks with Boeing and Airbus ( AIR.PA ) about ordering new aircraft and is meeting its immediate needs by leasing planes and repairing grounded aircraft, the airline's chief executive said on Saturday.",0.169027,Somewhat-Bullish,,0.180368,Somewhat-Bullish,20221119T112400
