,cols_used,mse_val,mse_train,aggregated_shap
10,"('finbert_Score', 'vader_Score', 'minmax_daily_variation', 'minmax_low_norm', 'minmax_open_norm')",0.0008568200615367719,0.00051615741068913,"[[0.00525957 0.0052102  0.0022666  0.0002566  0.00096273]
 [0.00665313 0.00541358 0.00248588 0.00029913 0.00104883]
 [0.0071736  0.00542425 0.00267674 0.00036646 0.00107787]
 [0.00759127 0.0057365  0.00305181 0.0004662  0.00099803]
 [0.00736634 0.00566724 0.00335381 0.00056872 0.00088974]
 [0.00623726 0.00583648 0.003154   0.00063079 0.00088347]
 [0.00623859 0.00705505 0.00275376 0.00070021 0.0009957 ]
 [0.0061302  0.00554382 0.00205188 0.00083417 0.00108622]
 [0.0058651  0.00501447 0.00196094 0.00093286 0.00114362]
 [0.00562025 0.00552845 0.00260773 0.0009765  0.0013256 ]
 [0.0066498  0.00588392 0.00325398 0.00081228 0.00140091]
 [0.00779543 0.00631849 0.00372305 0.00064413 0.0012527 ]
 [0.00760934 0.00640297 0.00361948 0.00045972 0.00093103]
 [0.00531544 0.00553318 0.00228756 0.0002573  0.00064539]]"
11,"('finbert_Score', 'mean_future', 'mean_trustworthy', 'norm_slowk_14', 'log_return_1')",0.0008977945239859677,0.0008889212977049209,"[[0.00204015 0.00113816 0.00508896 0.00485034 0.0007596 ]
 [0.00222195 0.0014986  0.00460511 0.00515916 0.00076971]
 [0.00314975 0.00166781 0.00361137 0.00505661 0.00071718]
 [0.00412395 0.00247211 0.00249615 0.00447976 0.00079316]
 [0.00477178 0.00329609 0.00179696 0.0040055  0.00087968]
 [0.00510086 0.00426129 0.00240052 0.0039     0.00087012]
 [0.00541975 0.00506415 0.00359917 0.0041421  0.001042  ]
 [0.00550623 0.00536265 0.0044606  0.00452218 0.00123913]
 [0.00593329 0.00514718 0.00482564 0.00445633 0.00140761]
 [0.00702238 0.00432827 0.004492   0.0037668  0.00149069]
 [0.00841358 0.0029495  0.00375398 0.00411512 0.00113788]
 [0.01003429 0.00141347 0.00265916 0.00536825 0.00057342]
 [0.00960445 0.00092099 0.00161307 0.00605369 0.00061642]
 [0.00665298 0.00104253 0.00115897 0.00454285 0.00105779]]"
12,"('finbert_Score', 'mean_future', 'mean_clickbait', 'norm_rsi_gspc_14', 'EURUSD=X_Close')",0.0009950458216259168,0.0014623391772760278,"[[0.00598683 0.01001325 0.00493341 0.00478066 0.0008629 ]
 [0.00989011 0.01301808 0.0052034  0.00493556 0.00091593]
 [0.01011852 0.01138688 0.00494086 0.00506404 0.00096573]
 [0.01130917 0.01058674 0.00456441 0.00491793 0.00098661]
 [0.01125644 0.00949117 0.00424811 0.00444037 0.00100109]
 [0.01083081 0.00850961 0.00370927 0.00367461 0.00100725]
 [0.00893995 0.0064235  0.00298    0.00266855 0.00098106]
 [0.00752858 0.00500098 0.00302969 0.0023636  0.00093886]
 [0.00712757 0.00359    0.00274516 0.002659   0.0008517 ]
 [0.00740999 0.00295697 0.00234721 0.00293426 0.00075175]
 [0.00795181 0.00281124 0.0021335  0.00301559 0.00064715]
 [0.0092365  0.0025241  0.00201531 0.00262582 0.00054503]
 [0.01025597 0.00231606 0.00179513 0.00171139 0.00041217]
 [0.00721177 0.0015052  0.00113737 0.0008229  0.00024934]]"
13,"('finbert_Score', 'mean_future', 'norm_rsi_14', 'minmax_BTC-USD_Volume', 'minmax_daily_variation')",0.0008370743099866169,0.0015120877339224862,"[[0.00738514 0.0044496  0.00539009 0.00789773 0.00311764]
 [0.00906489 0.00611572 0.00436547 0.00927796 0.00265229]
 [0.0090812  0.00671571 0.00310552 0.0102388  0.00284895]
 [0.00816245 0.00684985 0.00170043 0.01032308 0.00359156]
 [0.00697466 0.00605085 0.00084721 0.00954484 0.00478237]
 [0.00735414 0.00485657 0.0014579  0.00795648 0.00554058]
 [0.00850829 0.00316437 0.00312505 0.00568466 0.00522625]
 [0.00898068 0.00149516 0.00470824 0.00328742 0.00426895]
 [0.00776111 0.00203927 0.00617118 0.00236559 0.00283576]
 [0.00640578 0.00356909 0.00724895 0.00257904 0.00138357]
 [0.00830624 0.00498547 0.00787198 0.00345109 0.00176003]
 [0.01198091 0.00520741 0.00790584 0.00372402 0.00302501]
 [0.01335394 0.00433904 0.00696094 0.00319057 0.00302089]
 [0.01147403 0.00230134 0.0047446  0.00199808 0.00157564]]"
14,"('finbert_Score', 'mean_future', 'norm_roc_14', 'log_return_7', 'minmax_high_close_pressure')",0.000886591356469407,0.0007315836701933854,"[[0.00342103 0.00394594 0.00262826 0.00177605 0.00241995]
 [0.00370689 0.00406483 0.00261193 0.00188522 0.00236405]
 [0.00370825 0.00410132 0.00253003 0.00198816 0.00226438]
 [0.00404931 0.00342824 0.00241596 0.00216727 0.00256057]
 [0.00463763 0.00279283 0.0021509  0.00226618 0.00309971]
 [0.00545276 0.00231603 0.00187807 0.0023657  0.00368662]
 [0.00641782 0.00168339 0.00177497 0.00217302 0.00414729]
 [0.00679662 0.00135011 0.00191399 0.00202695 0.003993  ]
 [0.00741708 0.0016899  0.00241183 0.00192874 0.00350921]
 [0.00816353 0.00198384 0.00313987 0.00179633 0.00271023]
 [0.00835869 0.00215151 0.00370728 0.00152785 0.00184407]
 [0.00749758 0.0018352  0.00389045 0.00119974 0.00131717]
 [0.00579777 0.00122882 0.00339848 0.00092164 0.00154934]
 [0.00332826 0.00044569 0.00214887 0.0005083  0.00173755]]"
15,"('finbert_Score', 'mean_future', 'minmax_close_norm', 'minmax_high_norm', 'minmax_open_norm')",0.0009106968119296999,0.001552126221478689,"[[0.00758756 0.0027465  0.00121277 0.00286077 0.00064279]
 [0.00722515 0.00297009 0.00128534 0.00264271 0.00058895]
 [0.00808947 0.00316244 0.00143426 0.00209642 0.00076262]
 [0.00926479 0.00340304 0.00164463 0.00211963 0.00104436]
 [0.01008716 0.00319425 0.00174073 0.0025933  0.00129744]
 [0.00970752 0.00270928 0.00177356 0.00309435 0.00133876]
 [0.00796787 0.00247336 0.0017087  0.00349249 0.00120221]
 [0.00721331 0.0015893  0.00151511 0.00359247 0.00090637]
 [0.00663738 0.00273034 0.00119734 0.00356793 0.00055462]
 [0.0083182  0.00505418 0.00075426 0.00343897 0.0005624 ]
 [0.01115968 0.00670375 0.00044431 0.0032385  0.001253  ]
 [0.01222635 0.00708121 0.00057107 0.00279992 0.0020995 ]
 [0.01076366 0.00630815 0.00091939 0.00223642 0.00269468]
 [0.0051646  0.00373502 0.00109955 0.00152012 0.0024758 ]]"
16,"('finbert_Score', 'mean_influential', 'mean_trustworthy', 'norm_roc_14', 'EURUSD=X_Close')",0.0008986517461293953,0.0006193659992043184,"[[0.00516475 0.00166736 0.00117916 0.00357501 0.00021564]
 [0.00486013 0.00265073 0.00144982 0.00365992 0.00024932]
 [0.00545475 0.00319908 0.00179928 0.0037279  0.00025289]
 [0.00682836 0.00348469 0.00173326 0.00367345 0.00023008]
 [0.00775229 0.00317916 0.00135445 0.00347306 0.00019249]
 [0.00762813 0.00282763 0.00111894 0.00345264 0.00016011]
 [0.00705148 0.00254873 0.00109755 0.00374534 0.00015193]
 [0.00679134 0.00229506 0.00170893 0.00423036 0.0002049 ]
 [0.00686836 0.00225875 0.00214542 0.00469042 0.00025201]
 [0.008573   0.00213099 0.00236548 0.00454948 0.00027263]
 [0.01062095 0.00208133 0.00244282 0.0036123  0.0002677 ]
 [0.01164039 0.00283809 0.00250965 0.00210826 0.0002358 ]
 [0.01171651 0.00408258 0.00258253 0.00126535 0.00017908]
 [0.00827946 0.00363692 0.00176476 0.0013561  0.00012982]]"
17,"('finbert_Score', 'mean_influential', 'mean_clickbait', 'minmax_BTC-USD_Volume', 'minmax_high_close_pressure')",0.0009228973871185666,0.0012806152076512384,"[[0.00513678 0.00150372 0.00175607 0.0050913  0.00336331]
 [0.00622395 0.00294393 0.00110884 0.0024546  0.00242494]
 [0.00580339 0.00490267 0.00119296 0.00233656 0.0017217 ]
 [0.00563134 0.00700536 0.00162113 0.00393315 0.00150789]
 [0.00475285 0.00782081 0.00229645 0.00624615 0.00168279]
 [0.0040487  0.00848441 0.00311881 0.00793705 0.00209429]
 [0.00346303 0.00808218 0.00386553 0.00885304 0.00232332]
 [0.00311908 0.00645384 0.00433472 0.00925014 0.00250834]
 [0.00317993 0.00481917 0.00461282 0.00918616 0.00292183]
 [0.00411872 0.00370829 0.00470805 0.0089428  0.00346995]
 [0.00507946 0.0033232  0.00435397 0.00849355 0.00423769]
 [0.00621167 0.00335044 0.00378982 0.00803102 0.00538625]
 [0.00726641 0.00425343 0.00296096 0.00713267 0.00663933]
 [0.00643886 0.00370095 0.00164154 0.00509448 0.00604762]]"
18,"('finbert_Score', 'mean_influential', 'norm_rsi_14', 'norm_rsi_gspc_14', 'log_return_7')",0.0009762861522003299,0.0012790465471634537,"[[0.00532867 0.00206159 0.00614607 0.00274096 0.00148522]
 [0.00644377 0.00246815 0.00535559 0.00241694 0.00175257]
 [0.00841808 0.00265417 0.00487058 0.00201307 0.00256042]
 [0.01014665 0.00314111 0.00405895 0.00174924 0.00335224]
 [0.01104693 0.00346879 0.00310529 0.00146942 0.0039555 ]
 [0.01092373 0.00349186 0.00243023 0.00115069 0.00443291]
 [0.009241   0.00407114 0.002218   0.00109604 0.00437524]
 [0.00729555 0.00393903 0.00201859 0.00107958 0.00392455]
 [0.00532142 0.00355106 0.0018909  0.00112001 0.00308017]
 [0.00526212 0.00304662 0.00148642 0.00105516 0.00220743]
 [0.00606422 0.00328813 0.00121219 0.00089723 0.00147944]
 [0.00681889 0.00381765 0.00152924 0.00095132 0.00118412]
 [0.00752091 0.00420839 0.00225853 0.00134715 0.0011952 ]
 [0.00462024 0.00350859 0.00207497 0.00138557 0.00108267]]"
19,"('finbert_Score', 'mean_influential', 'norm_slowk_14', 'minmax_daily_variation', 'minmax_low_open_pressure')",0.0009033044279065161,0.000611783999573967,"[[0.00220551 0.00366828 0.0040621  0.00107603 0.00072859]
 [0.00333475 0.00294617 0.00433904 0.0009316  0.0009759 ]
 [0.00476536 0.00332584 0.00404293 0.00087083 0.00099551]
 [0.00533085 0.00264626 0.0036569  0.00094719 0.0008936 ]
 [0.00542319 0.00338882 0.00313294 0.00103834 0.00073405]
 [0.00489833 0.0041795  0.00283901 0.00106361 0.00063429]
 [0.00457716 0.00399272 0.00298009 0.00117906 0.00058742]
 [0.00376027 0.00319029 0.00314577 0.00151824 0.00044885]
 [0.00337161 0.00228771 0.00332556 0.00197504 0.00040363]
 [0.00445749 0.00183714 0.00390955 0.00233692 0.00037202]
 [0.00528995 0.00241316 0.0040519  0.00278801 0.00032728]
 [0.00675157 0.00326565 0.0040362  0.00294391 0.00020604]
 [0.00833469 0.00392613 0.00337441 0.00241787 0.00020814]
 [0.00766557 0.00385266 0.00270824 0.00080707 0.00023538]]"
