,day,future,influential,trustworthy,not clickbait,finbert_Score,bart_Score,vader_Score,future_finbert,future_bart,future_vader,influential_finbert,influential_bart,influential_vader,trustworthy_finbert,trustworthy_bart,trustworthy_vader,clickbait_finbert,clickbait_bart,clickbait_vader
0,2021-01-01,0.2827084958553314,0.9984137415885924,0.9197997450828552,0.2993282377719879,0.8008046600000001,0.8806378543376923,-0.34,0.2263942809025401,0.24896380319307543,-0.09612088859081269,0.7995343768721807,0.8792409351338452,-0.33946067214012143,0.7365799221291626,0.8100104739301219,-0.3127319133281708,0.23970344767739596,0.263599777054206,-0.1017716008424759
1,2021-01-02,0.372798889875412,0.9902212619781494,0.977060854434967,0.4168221354484558,0.884759784,0.9897847399115564,0.9201,0.3298374652816093,0.3689906522546516,0.34301225857436657,0.8761079498599949,0.9801058942419357,0.9111025831460953,0.8644641505247369,0.9670799236846769,0.8989936921656132,0.36878746252579453,0.41256418892422936,0.3835180468261242
2,2021-01-03,0.19302944466471667,0.9819698333740234,0.7526188790798187,0.22935244441032404,0.48045067,0.9794691379647703,0.2838,0.04338406122485764,0.19046912762793455,0.05857153600305316,0.47560402684572695,0.9617006953054268,0.27839003796577455,0.44792499670932384,0.7347134734533717,0.20696466413736342,0.08573904480200496,0.22533861719083975,0.066967834174633
3,2021-01-04,0.4015059570471446,0.9656323393185934,0.8829379479090372,0.35603923598925263,0.11352745233333332,0.920095211515824,0.0,0.09112913839608942,0.37321572330376657,0.0,0.10844972092521966,0.8877414470557629,0.0,0.12463887372001674,0.8132357418280067,0.0,0.030893836148495914,0.32581177299450365,0.0
4,2021-01-05,0.27384425699710846,0.9874701797962189,0.8539665192365646,0.32480696588754654,0.5920120152499999,0.7783696986734868,0.70165,0.1527781582695027,0.20660157330220452,0.1854151004001498,0.5847889362583122,0.7686173988572995,0.6927956080555915,0.5492548433027833,0.6874020981058663,0.6187987655580044,0.17520649984884046,0.2471523628866802,0.22502167496234177
5,2021-01-06,0.23274535685777661,0.9878393411636353,0.8980884850025177,0.22778707370162005,0.27500980499999994,0.9522002958692612,0.5518500000000001,0.16825786319485947,0.2147811731924102,0.1598669994726777,0.2681195175514599,0.9408535359551984,0.5440701982587577,0.23173741541709597,0.8561602676059529,0.49101428824067117,0.13274740782292216,0.21229999021944995,0.14683715217858553
6,2021-01-08,0.31113616563379765,0.9869069457054138,0.7288216203451157,0.24957836419343943,0.18105963125,0.7478650644188747,-0.12204999999999999,0.03969901167539172,0.223715510419118,-0.07467771466486157,0.18066298814627962,0.73728940173598,-0.11916413410603999,0.20787042842223258,0.555712510898595,-0.028829790270328504,0.03987906137237637,0.20390259993164328,-0.0509539019137621
7,2021-01-10,0.27053018659353256,0.9832541644573212,0.6998670697212219,0.2887333706021309,-0.916854689,0.8938306234776975,0.1591,-0.24594297002452642,0.24527211316140618,0.05293202696740627,-0.901325638318309,0.8791531006705222,0.1572649729311466,-0.638816776449866,0.6302933142342404,0.12485649163722991,-0.2698694817747675,0.24957074595599127,0.021644478793442248
8,2021-01-11,0.23351933807134623,0.968098258972168,0.7402081966400147,0.17408809512853615,-0.399332586,0.4688175354152918,-0.05243999999999999,-0.12908394287270064,0.16541126419664445,-0.06497501267910004,-0.3803541666490348,0.446706157637732,-0.048424596240520444,-0.26979114694646184,0.32788232107611187,-0.0326788283228874,-0.10417024654384122,0.08212866067577722,-0.023721407163441177
9,2021-01-12,0.32132073988517124,0.9921342929204305,0.9562166333198547,0.13816229254007337,0.3087834803333333,0.7299298730989298,0.1414,0.05065268705970519,0.21157764351504427,0.007168801496674611,0.30700841396352296,0.7256691302613657,0.13998728853662812,0.2963458644680686,0.7054889258350124,0.13118408228755,0.03946390435091451,0.09563314233662229,0.019594232129305594
10,2021-01-14,0.281162291765213,0.975623607635498,0.9157320857048036,0.2579334080219269,0.818301336,0.9066991880536078,0.2023,0.23007547898429562,0.2549296216548102,0.056879131624102595,0.7983541015612678,0.8845971328890377,0.19736865582466126,0.7493447891503072,0.8302935385831822,0.18525260093808177,0.21106725238337587,0.23386801162538104,0.05217992844283581
11,2021-01-15,0.1562986224889755,0.992280900478363,0.8138913512229919,0.2998284697532654,0.90306084,0.5764116048812866,-0.8126,0.1411471653157371,0.09009233982960473,-0.1270082606345415,0.8960900235019469,0.5719622263377815,-0.8063274597287178,0.7349934073041701,0.4691364199574437,-0.6613681120038033,0.2707633497512984,0.17282460943958,-0.24364061452150346
12,2021-01-19,0.3880515843629837,0.9813921451568604,0.846171498298645,0.31289058923721313,0.4597527835,0.6846982203423978,-0.17635,0.1609161399419634,0.25621759093048724,-0.06557541839182376,0.44839950316957466,0.6704407686819833,-0.17261137320697306,0.41754860614919037,0.5948296271863537,-0.15388125973641875,0.18387715075813796,0.23592945589872716,-0.061716806991398324
13,2021-01-20,0.3798795342445373,0.9675660133361816,0.6499451398849487,0.2378060594201088,0.0624539755,0.614679854363203,0.6838,0.023826357290357827,0.22392692109262577,0.25073603560328483,0.060448470470957985,0.5928418112355462,0.6598296684265137,0.040918014000596616,0.3686743038417404,0.4153750531733036,0.01504444102737672,0.1279866592533187,0.14547171861603855
14,2021-01-21,0.2907182667404413,0.9802892059087753,0.7117829024791718,0.27088982053101057,-0.5835478495,0.8030639800563222,0.02651250000000001,-0.1507662096143524,0.22419527786404164,0.021762378171086307,-0.5713776318704806,0.7891505586469514,0.02611465047225356,-0.3806806038796247,0.5676525021275943,0.02738110701963306,-0.16152432781248768,0.20173233127457138,0.009524555996432899
