,day,future,influential,trustworthy,not clickbait,finbert_Score,bart_Score,vader_Score,future_finbert,future_bart,future_vader,influential_finbert,influential_bart,influential_vader,trustworthy_finbert,trustworthy_bart,trustworthy_vader,clickbait_finbert,clickbait_bart,clickbait_vader
0,2021-01-01,0.2827084958553314,0.9984137415885924,0.9197997450828552,0.2993282377719879,0.8008046600000001,0.8806378543376923,-0.34,0.2263942809025401,0.24896380319307543,-0.09612088859081269,0.7995343768721807,0.8792409351338452,-0.33946067214012143,0.7365799221291626,0.8100104739301219,-0.3127319133281708,0.23970344767739596,0.263599777054206,-0.1017716008424759
1,2021-01-02,0.372798889875412,0.9902212619781494,0.977060854434967,0.4168221354484558,0.884759784,0.9897847399115564,0.9201,0.3298374652816093,0.3689906522546516,0.34301225857436657,0.8761079498599949,0.9801058942419357,0.9111025831460953,0.8644641505247369,0.9670799236846769,0.8989936921656132,0.36878746252579453,0.41256418892422936,0.3835180468261242
2,2021-01-03,0.3051531016826629,0.9733011722564696,0.5565072298049927,0.2849030494689941,0.04024860999999999,0.9919798239134252,0.3176,0.01228198817991584,0.3027057200738035,0.09691662509441373,0.039174019294693455,0.9654951254697031,0.30912045230865476,0.02239864245460152,0.5520439438285047,0.17674669618606567,0.011466951725888247,0.2826180768446506,0.09048520851135251
3,2021-01-04,0.2699260587493578,0.9857762455940247,0.9124569694201151,0.31780976057052607,0.3698639756666666,0.9224306972076496,0.08333333333333333,0.0919150551486525,0.2470942917481548,0.006742148970564199,0.3654412340857083,0.9093922521004173,0.0825532078742981,0.3723095166406907,0.843788331990632,0.07906087736288707,0.0696483569391994,0.2895192235097817,0.014483486612637833
4,2021-01-05,0.31242742389440536,0.9733180999755859,0.906149685382843,0.2979049682617187,0.64683209775,0.9036052557639778,0.59155,0.17624342664453413,0.2838793507170875,0.15003855947405098,0.6367401550710238,0.8786164197620192,0.5841472661018371,0.5928801018740097,0.8190789839541375,0.547075133562088,0.19284113499666655,0.2709333223645297,0.18141125696450472
5,2021-01-06,0.1946097984910011,0.9901306331157684,0.786817729473114,0.2565194927155971,-0.212533985,0.7263496429659427,0.40080000000000005,-0.023002332457401298,0.10748198889331781,0.08301704668700695,-0.21091682004721465,0.7200674074172593,0.3967130624413491,-0.18684119352936476,0.6076964286772685,0.3099956195354462,-0.03429459175937086,0.14900787259532516,0.10834033171087502
6,2021-01-07,0.397583931684494,0.9822325110435486,0.873982310295105,0.3386334180831909,0.9074504099999999,0.9107110723853112,0.7425,0.36078770181650605,0.3620840887875539,0.29520606927573684,0.8913272948617976,0.8945300234641872,0.7293076394498349,0.7930956058100401,0.7959453670546469,0.6489318653941155,0.307293034079293,0.30839720332804627,0.2514353129267693
7,2021-01-08,0.31113616563379765,0.9869069457054138,0.7288216203451157,0.24957836419343943,0.18105963125,0.7478650644188747,-0.12204999999999999,0.03969901167539172,0.223715510419118,-0.07467771466486157,0.18066298814627962,0.73728940173598,-0.11916413410603999,0.20787042842223258,0.555712510898595,-0.028829790270328504,0.03987906137237637,0.20390259993164328,-0.0509539019137621
8,2021-01-10,0.3326965868473053,0.988466203212738,0.7847673892974854,0.1360432356595993,-0.8831725060000001,0.9495512023568153,0.3182,-0.2938284783435813,0.3159124440608674,0.10586405393481255,-0.8729861737876992,0.9385992717497316,0.3145299458622932,-0.6930849818329378,0.7451768180778462,0.24971298327445982,-0.1201496453618369,0.1291800179930841,0.043288957586884495
9,2021-01-11,0.22932674611608184,0.9697555700937907,0.719334622224172,0.21864399686455724,-0.491199967,0.5303662869458398,-0.04369999999999999,-0.14057952934482912,0.16694801720752786,-0.054145843899250035,-0.47190598934901545,0.5088729529633288,-0.040353830200433705,-0.32225071763318386,0.35913690262853243,-0.0272323569357395,-0.15674009181781737,0.13010079621629742,-0.019767839302867646
10,2021-01-12,0.32132073988517124,0.9921342929204305,0.9562166333198547,0.13816229254007337,0.3087834803333333,0.7299298730989298,0.1414,0.05065268705970519,0.21157764351504427,0.007168801496674611,0.30700841396352296,0.7256691302613657,0.13998728853662812,0.2963458644680686,0.7054889258350124,0.13118408228755,0.03946390435091451,0.09563314233662229,0.019594232129305594
11,2021-01-14,0.281162291765213,0.975623607635498,0.9157320857048036,0.2579334080219269,0.818301336,0.9066991880536078,0.2023,0.23007547898429562,0.2549296216548102,0.056879131624102595,0.7983541015612678,0.8845971328890377,0.19736865582466126,0.7493447891503072,0.8302935385831822,0.18525260093808177,0.21106725238337587,0.23386801162538104,0.05217992844283581
12,2021-01-15,0.1562986224889755,0.992280900478363,0.8138913512229919,0.2998284697532654,0.90306084,0.5764116048812866,-0.8126,0.1411471653157371,0.09009233982960473,-0.1270082606345415,0.8960900235019469,0.5719622263377815,-0.8063274597287178,0.7349934073041701,0.4691364199574437,-0.6613681120038033,0.2707633497512984,0.17282460943958,-0.24364061452150346
13,2021-01-19,0.3880515843629837,0.9813921451568604,0.846171498298645,0.31289058923721313,0.4597527835,0.6846982203423978,-0.17635,0.1609161399419634,0.25621759093048724,-0.06557541839182376,0.44839950316957466,0.6704407686819833,-0.17261137320697306,0.41754860614919037,0.5948296271863537,-0.15388125973641875,0.18387715075813796,0.23592945589872716,-0.061716806991398324
14,2021-01-20,0.3798795342445373,0.9675660133361816,0.6499451398849487,0.2378060594201088,0.0624539755,0.614679854363203,0.6838,0.023826357290357827,0.22392692109262577,0.25073603560328483,0.060448470470957985,0.5928418112355462,0.6598296684265137,0.040918014000596616,0.3686743038417404,0.4153750531733036,0.01504444102737672,0.1279866592533187,0.14547171861603855
