,cols_used,mse_val,mse_train,aggregated_shap
10,"('finbert_Score', 'vader_Score', 'minmax_daily_variation', 'minmax_low_norm', 'minmax_open_norm')",0.0014099410036578774,0.0007903603892758973,"[[0.00194854 0.00334619 0.00143193 0.00066824 0.00296459]
 [0.0026931  0.00353087 0.00164331 0.00062252 0.00265685]
 [0.00408406 0.00377435 0.00187904 0.00057868 0.00204437]
 [0.00526977 0.00430049 0.0018775  0.00050633 0.0014063 ]
 [0.00625901 0.00419461 0.00144822 0.00040551 0.00108472]
 [0.00643083 0.00406012 0.0013777  0.00033168 0.0010212 ]
 [0.00567508 0.0039344  0.00160712 0.00027447 0.00111299]
 [0.00394046 0.00374086 0.00171076 0.00031027 0.000944  ]
 [0.00267189 0.00348321 0.00126511 0.0004987  0.00078963]
 [0.00283932 0.00335632 0.00134842 0.00093915 0.00117312]]"
11,"('finbert_Score', 'mean_future', 'mean_trustworthy', 'norm_slowk_14', 'log_return_1')",0.0012731602182611823,0.0012741525830115674,"[[0.00226212 0.00233059 0.00240548 0.00345395 0.0005889 ]
 [0.00341555 0.00198289 0.00189515 0.00279138 0.00053685]
 [0.0052466  0.00147137 0.00114958 0.0020523  0.00042637]
 [0.00649462 0.00116651 0.00142804 0.00145289 0.00041895]
 [0.00761125 0.00100265 0.00298183 0.00113409 0.00045371]
 [0.00730716 0.0014407  0.00474934 0.00172726 0.00046302]
 [0.00545891 0.00244818 0.00623773 0.00235629 0.00064118]
 [0.0035769  0.00282554 0.00700201 0.00228917 0.00064959]
 [0.00362867 0.00233429 0.00639555 0.00196204 0.00050676]
 [0.00420835 0.00112797 0.00425523 0.00144757 0.0003071 ]]"
12,"('finbert_Score', 'mean_future', 'mean_clickbait', 'norm_rsi_gspc_14', 'EURUSD=X_Close')",0.0013520505744963884,0.0020146005074767504,"[[2.69792588e-03 4.02267008e-03 1.72267906e-03 3.11711416e-03
  1.39360486e-04]
 [3.75343408e-03 5.01513075e-03 1.46814288e-03 2.11255809e-03
  1.28911534e-04]
 [5.47671172e-03 5.03048626e-03 1.00642403e-03 8.96773931e-04
  9.49118246e-05]
 [6.33138771e-03 3.93009727e-03 9.88505029e-04 1.19030166e-03
  5.33468952e-05]
 [5.92695515e-03 2.00994190e-03 2.25677240e-03 2.16119019e-03
  7.23446101e-05]
 [4.22418516e-03 7.45604674e-04 3.77165870e-03 2.11057278e-03
  1.63160752e-04]
 [2.28420625e-03 3.19059637e-03 5.14908540e-03 9.03829402e-04
  2.44061169e-04]
 [4.58609508e-03 4.78277873e-03 5.70071442e-03 1.00254687e-03
  2.71566249e-04]
 [7.10935034e-03 4.54817970e-03 5.09093818e-03 2.51879544e-03
  2.31147559e-04]
 [6.67814499e-03 2.61481339e-03 2.99526279e-03 2.68430508e-03
  1.38384760e-04]]"
13,"('finbert_Score', 'mean_future', 'norm_rsi_14', 'minmax_BA_Volume', 'minmax_daily_variation')",0.0014980098931118846,0.0009225557764398147,"[[0.00293365 0.00319897 0.00177527 0.00192623 0.00175538]
 [0.00357562 0.00351665 0.00152951 0.00199862 0.00205201]
 [0.00378307 0.00372247 0.00141842 0.00211118 0.00265234]
 [0.00406595 0.00333421 0.00132673 0.00220613 0.00283448]
 [0.00413038 0.00286386 0.00106351 0.00257554 0.00252366]
 [0.00373064 0.00219711 0.00120424 0.00345312 0.00247859]
 [0.00235592 0.00172204 0.00208591 0.00361302 0.00245405]
 [0.00168792 0.00156699 0.00338363 0.00291129 0.00234208]
 [0.00156648 0.00165183 0.00415134 0.0011901  0.00178556]
 [0.00152291 0.00191936 0.00363635 0.00142504 0.0010389 ]]"
14,"('finbert_Score', 'mean_future', 'norm_roc_14', 'log_return_5', 'minmax_high_close_pressure')",0.0013983291573822498,0.000834261214172456,"[[0.00278582 0.00210628 0.0032883  0.00134151 0.00144721]
 [0.00251303 0.00190415 0.00295039 0.0012126  0.00134683]
 [0.00300486 0.00178405 0.00237793 0.00107277 0.0010998 ]
 [0.00358516 0.00176123 0.0016773  0.000893   0.00098651]
 [0.00395036 0.00192538 0.00104768 0.00077222 0.00104124]
 [0.00360096 0.00217815 0.00069463 0.00080448 0.00111273]
 [0.00256346 0.00162231 0.00080192 0.00094094 0.00116381]
 [0.00270645 0.00082676 0.00094641 0.00105058 0.00108493]
 [0.00371773 0.00118533 0.00086788 0.00099716 0.00091804]
 [0.00390331 0.00190391 0.00065333 0.00076178 0.00063713]]"
15,"('finbert_Score', 'mean_future', 'minmax_close_norm', 'minmax_high_norm', 'minmax_open_norm')",0.0014106191229075193,0.0013418999055815693,"[[0.00184287 0.00149147 0.00306826 0.00102862 0.00466984]
 [0.00252494 0.00144572 0.00311805 0.00120829 0.00434375]
 [0.00390103 0.00171241 0.00279085 0.00125693 0.00389217]
 [0.00550475 0.00185073 0.00227543 0.00135295 0.00315795]
 [0.00674985 0.00176419 0.00155837 0.00153723 0.00250183]
 [0.00693757 0.00158132 0.00049541 0.0016099  0.00183163]
 [0.00508636 0.00126006 0.00089658 0.00138371 0.00099648]
 [0.00301729 0.00112314 0.0019341  0.00114315 0.00068397]
 [0.00444746 0.00110656 0.00232266 0.00136705 0.00082195]
 [0.00669127 0.00105069 0.001836   0.001737   0.00083612]]"
16,"('finbert_Score', 'mean_influential', 'mean_trustworthy', 'norm_roc_14', 'EURUSD=X_Close')",0.0013487159740179777,0.0010072574727294891,"[[4.29180595e-03 3.28069073e-03 7.92397764e-03 2.33802710e-03
  2.53223390e-04]
 [4.43778315e-03 3.90866847e-03 7.91906364e-03 2.28078290e-03
  2.87800036e-04]
 [4.14567105e-03 4.66688585e-03 7.68510330e-03 1.97167947e-03
  3.06374932e-04]
 [5.04478876e-03 4.49848325e-03 6.01231462e-03 1.77685379e-03
  3.13928081e-04]
 [5.83024720e-03 3.61771301e-03 3.77946731e-03 1.84733037e-03
  3.15805955e-04]
 [5.37359290e-03 3.12777298e-03 2.87107406e-03 1.77968738e-03
  2.92190845e-04]
 [3.91096451e-03 4.10835196e-03 3.51938836e-03 1.40809833e-03
  2.37686994e-04]
 [3.44349973e-03 4.58946204e-03 5.00617270e-03 1.56673937e-03
  1.76224411e-04]
 [5.08086314e-03 3.53319564e-03 5.59248769e-03 2.75374254e-03
  1.46164299e-04]
 [5.22700151e-03 1.16781449e-03 3.92358541e-03 3.44375556e-03
  9.94238379e-05]]"
17,"('finbert_Score', 'mean_influential', 'mean_clickbait', 'minmax_BA_Volume', 'minmax_high_close_pressure')",0.0012480881996452808,0.0013009559996743274,"[[0.00426081 0.00419008 0.00069806 0.00359862 0.00106358]
 [0.00654432 0.00572165 0.00124613 0.00303872 0.0013157 ]
 [0.00875054 0.00704385 0.00194349 0.00200237 0.00161701]
 [0.00994243 0.00631333 0.00286329 0.00114516 0.00189253]
 [0.01000932 0.00444131 0.0034769  0.00133812 0.00202924]
 [0.00863302 0.0023746  0.00396356 0.00248038 0.00201469]
 [0.00566949 0.0013935  0.00444873 0.00274054 0.00181111]
 [0.00276751 0.00180628 0.00439072 0.00247733 0.0016007 ]
 [0.00300542 0.0009812  0.00399336 0.00150888 0.00159338]
 [0.00385176 0.00072382 0.00267579 0.00051019 0.00124182]]"
18,"('finbert_Score', 'mean_influential', 'norm_rsi_14', 'norm_rsi_gspc_14', 'log_return_5')",0.0013549741124734282,0.0009817466645821607,"[[0.00453502 0.00478847 0.00357945 0.00449884 0.00162983]
 [0.00473185 0.00518644 0.00246302 0.00368944 0.00164856]
 [0.00524928 0.00535337 0.00169984 0.00267026 0.00138794]
 [0.0053889  0.00426247 0.00135403 0.00181374 0.00125271]
 [0.00592543 0.00375352 0.00156844 0.00204093 0.0012072 ]
 [0.00575852 0.00285739 0.0014157  0.00206496 0.00125818]
 [0.00505694 0.00260927 0.00092743 0.00156668 0.00143768]
 [0.00536593 0.00249627 0.00036947 0.00077977 0.00151447]
 [0.00736354 0.00251359 0.000569   0.00080654 0.00144065]
 [0.00637458 0.00211495 0.00044527 0.00142701 0.00112762]]"
19,"('finbert_Score', 'mean_influential', 'norm_slowk_14', 'minmax_daily_variation', 'minmax_low_open_pressure')",0.0012511723907664418,0.0006934850660135434,"[[0.00692325 0.00561952 0.00306514 0.00124163 0.0005734 ]
 [0.00682652 0.00496814 0.00212308 0.00135417 0.00045169]
 [0.00527939 0.00363725 0.00157123 0.00186375 0.00071505]
 [0.00530488 0.00331343 0.00142869 0.00202633 0.00091276]
 [0.00621122 0.00265146 0.00127858 0.00169078 0.0009988 ]
 [0.00642638 0.00219928 0.00108154 0.00099494 0.00082584]
 [0.00602017 0.00167323 0.00151837 0.0009006  0.0005725 ]
 [0.00491617 0.00230287 0.00255377 0.00079084 0.00021844]
 [0.00214292 0.00338669 0.00386562 0.00070915 0.0003901 ]
 [0.00139093 0.00335705 0.00425264 0.00042779 0.00047465]]"
