,Date,BA_Open,BA_High,BA_Low,BA_Close,BA_Adj Close,BA_Volume,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Adj Close,BTC-USD_Volume,NFLX_Open,NFLX_High,NFLX_Low,NFLX_Close,NFLX_Adj Close,NFLX_Volume,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Adj Close,TSLA_Volume,is_weekend
0,2019-01-01,,,,,,,3746.71337890625,3850.913818359375,3707.231201171875,3843.52001953125,3843.52001953125,4324200990,,,,,,,,,,,,,False
1,2019-01-02,316.19000244140625,323.95001220703125,313.7099914550781,323.80999755859375,314.6451416015625,3292200.0,3849.21630859375,3947.981201171875,3817.409423828125,3943.409423828125,3943.409423828125,5244856836,259.2799987792969,269.75,256.5799865722656,267.6600036621094,267.6600036621094,11679500.0,20.406667709350586,21.0086669921875,19.920000076293945,20.674667358398438,20.674667358398438,174879000.0,False
2,2019-01-03,319.489990234375,319.739990234375,309.3999938964844,310.8999938964844,302.1005554199219,5705600.0,3931.048583984375,3935.68505859375,3826.222900390625,3836.7412109375,3836.7412109375,4530215219,270.20001220703125,275.7900085449219,264.42999267578125,271.20001220703125,271.20001220703125,14969600.0,20.46666717529297,20.626667022705078,19.825332641601562,20.02400016784668,20.02400016784668,104478000.0,False
3,2019-01-04,316.69000244140625,328.44000244140625,316.0799865722656,327.0799865722656,317.82257080078125,4448800.0,3832.0400390625,3865.9345703125,3783.853759765625,3857.717529296875,3857.717529296875,4847965467,281.8800048828125,297.79998779296875,278.5400085449219,297.57000732421875,297.57000732421875,19330100.0,20.399999618530273,21.200000762939453,20.18199920654297,21.179332733154297,21.179332733154297,110911500.0,False
4,2019-01-05,,,,,,,3851.973876953125,3904.903076171875,3836.900146484375,3845.194580078125,3845.194580078125,5137609824,,,,,,,,,,,,,True
5,2019-01-06,,,,,,,3836.51904296875,4093.29736328125,3826.51318359375,4076.632568359375,4076.632568359375,5597027440,,,,,,,,,,,,,True
6,2019-01-07,330.5199890136719,330.69000244140625,323.3500061035156,328.1099853515625,318.8234558105469,4030300.0,4078.5849609375,4092.613525390625,4020.89404296875,4025.248291015625,4025.248291015625,5228625637,302.1000061035156,316.79998779296875,301.6499938964844,315.3399963378906,315.3399963378906,18620100.0,21.447999954223633,22.44933319091797,21.183332443237305,22.33066749572754,22.33066749572754,113268000.0,False
7,2019-01-08,334.1099853515625,341.25,332.6499938964844,340.5299987792969,330.89190673828125,4736500.0,4028.47216796875,4109.02099609375,3996.955322265625,4030.847900390625,4030.847900390625,5306593305,319.9800109863281,320.5899963378906,308.010009765625,320.2699890136719,320.2699890136719,15359200.0,22.797332763671875,22.93400001525879,21.801332473754883,22.356666564941406,22.356666564941406,105127500.0,False
8,2019-01-09,342.9599914550781,347.20001220703125,340.8699951171875,343.8299865722656,334.0985107421875,4213900.0,4031.552001953125,4068.403564453125,4022.662841796875,4035.29638671875,4035.29638671875,5115905225,317.7099914550781,323.3500061035156,313.5,319.9599914550781,319.9599914550781,13343200.0,22.366666793823242,22.899999618530273,22.097999572753906,22.568666458129883,22.568666458129883,81493500.0,False
9,2019-01-10,346.510009765625,353.4700012207031,343.0,352.6099853515625,342.6300048828125,5358100.0,4034.411376953125,4064.066650390625,3659.174560546875,3678.924560546875,3678.924560546875,6874143796,314.57000732421875,325.3699951171875,312.5,324.6600036621094,324.6600036621094,13472500.0,22.293333053588867,23.025999069213867,22.119333267211914,22.99799919128418,22.99799919128418,90846000.0,False
