uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
f9480128-e873-44f9-abc0-88fbf2f1fa81,Boeing Announces Second-Quarter Deliveries,/PRNewswire/ -- The Boeing Company [NYSE: BA] announced today major program deliveries across its commercial and defense operations for the second quarter of...,Boeing,"ARLINGTON, Va., July 11, 2023 /PRNewswire/ -- The Boeing Company [NYSE: BA] announced today major program deliveries across its commercial and defense operation...",https://www.prnewswire.com/news-releases/boeing-announces-second-quarter-deliveries-301873500.html,https://www.prnewswire.com/content/dam/prnewswire/icons/2019-Q4-PRN-Icon-32-32.png,en,2023-07-11T15:00:00.000000Z,prnewswire.com,,equity,Industrials,28.20992157142857,0.128
6d4ac7b8-e43c-4ce8-b6fa-00ed31321ac6,BOEING CO : Gets a Neutral rating from RBC,"In a research note, RBC analyst Ken Herbert has maintained his recommendation on the stock with a Neutral rating. The target price is unchanged and still at USD 220.",Markets,"The Boeing Company is the worldwide leader in aeronautical construction. Net sales break down by market as follows: - defense, space and security (34.6%): milit...",https://www.marketscreener.com/quote/stock/BOEING-4816/news/BOEING-CO-Gets-a-Neutral-rating-from-RBC-44313420/,https://www.marketscreener.com/images/twitter_MS_fdnoir.png,en,2023-07-11T19:25:06.000000Z,marketscreener.com,,equity,Industrials,32.95730175,0.0
b11c20fd-78f8-426a-934f-3c07197ee27b,Boeing deliveries climb in June as it rebounds from production issues By Reuters,Boeing deliveries climb in June as it rebounds from production issues,,"Published Jul 11, 2023 11:08AM ET

© Reuters. FILE PHOTO: A photo of Boeing 737 MAX airplanes parked on the tarmac at the Boeing Factory in Renton, Washington,...",https://www.investing.com/news/stock-market-news/boeing-deliveries-climb-in-june-as-it-rebounds-from-production-issues-3123477,https://i-invdn-com.investing.com/news/LYNXMPEBB915W_L.jpg,en,2023-07-11T15:11:55.000000Z,investing.com,,equity,Industrials,16.14435,0.0
