uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
80183a57-112d-4813-a9e9-e3d1819832f7,Bitcoin bounces after drop from all-time highs: Four market analysts on what they’re watching,"Bitcoin bounced on Friday, though ended the week nearly 6% lower.
Here's what experts are watching now.","Investment strategy, Bitcoin/USD Bitstamp, business news","Bitcoin bounced on Friday, though ended the week nearly 6% lower.

The cryptocurrency had been under pressure earlier in the week on fears of a regulatory crack...",https://www.cnbc.com/2021/01/22/bitcoin-bounces-after-drop-from-all-time-highs-what-to-watch.html,https://image.cnbcfm.com/api/v1/image/104985822-GettyImages-910099824.jpg?v=1611354547,en,2021-01-22T22:42:00.000000Z,cnbc.com,,cryptocurrency,N/A,37.467445,0.0
99c7d828-e0dd-49f8-b20b-25fddfbbfdb1,"Bitcoin tumbles below $30,000, extending its plunge to start 2021",The digital currency plunged 15% on Thursday and is now 30% below its record high reached less than two weeks ago.,"Cryptocurrency, Gary Gensler, Joe Biden, Bitcoin/USD Coinbase, Technology, Business, Social media, Breaking News: Technology, Gary Gensler, business news","Bitcoin tumbled below $30,000 on Thursday, as the cryptocurrency continued its 2021 slide after quadrupling in value last year.

The digital currency dropped 17...",https://www.cnbc.com/2021/01/21/bitcoin-drops-below-30000.html,https://image.cnbcfm.com/api/v1/image/106820278-1609972654383-hand-holding-a-bitcoin-in-front-of-a-computer-screen-with-a-dark-graph-blockchain-mining-bitcoin_t20_pRrrjP.jpg?v=1610580302,en,2021-01-22T01:28:32.000000Z,cnbc.com,,cryptocurrency,N/A,26.238403,0.0
9efd2244-c717-4fa8-b526-24b2db8d74b3,"Bitcoin’s skid rings alarm bells as money manager says retreat to $20,000 ahead","Bitcoin prices are sliding again Thursday, and the decline may be triggering some short-term bearish alarm bells with the asset already technically in a...","article_normal, bitcoin, bitcoin decline, bitcoin price, bitcoin prices, Banking/Credit, Financial Services, Financial Technology, Investing/Securities, Technology, Virtual Currencies, Equity Markets, Money/Forex Markets, Foreign Exchange Markets, Commodity Markets, Derivative Securities, Commodity/Financial Market News, Cryptocurrency Markets, Content Types, Factiva Filters, C&E Exclusion Filter, Bitcoin USD, BTCUSD, Bitcoin (CME) Front Month, BTC.1, BTC. 1, equity markets, money, forex markets, foreign exchange markets, commodity markets, derivative securities, commodity, financial market news, cryptocurrency markets, content types, factiva filters, c&e exclusion filter, banking, credit, financial services, financial technology, investing, securities, technology, virtual currencies","Bitcoin prices are sliding again Thursday, and the decline may be triggering some short-term bearish alarm bells with the asset already technically in a bear-ma...",https://www.marketwatch.com/story/bitcoins-skid-rings-alarm-bells-as-money-manager-says-retreat-to-20-000-ahead-11611260058,https://images.mktw.net/im-288687/social,en,2021-01-22T02:27:00.000000Z,marketwatch.com,,cryptocurrency,N/A,22.087696,0.109633
