uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
46a8697c-2fb1-415b-a991-d4359f45b257,"This week in tech: Shares slide at Netflix, Tesla, Alphabet","This week in tech: Shares slide at Netflix, Tesla, Alphabet | Pro Recap",,"© Reuters.

By Louis Juricic

Investing.com -- Here is your weekly Pro Recap on the past week's biggest tech headlines you may have missed on InvestingPro: ear...",https://www.investing.com/news/stock-market-news/this-week-in-tech-setbacks-at-netflix-tesla-alphabet--pro-recap-3062206,https://i-invdn-com.investing.com/news/LYNXMPEC9G1B8_L.jpg,en,2023-04-23T21:15:23.000000Z,investing.com,,equity,Communication Services,29.4934805,-0.157333
535feb76-1a15-40df-8b83-c5a9484e31dc,"This week in tech: Shares slide at Netflix, Tesla, Alphabet | Pro Recap",By Louis Juricic,,"By Louis Juricic

Investing.com -- Here is your weekly Pro Recap on the past week's biggest tech headlines you may have missed on InvestingPro: earnings out of ...",https://finance.yahoo.com/news/week-tech-shares-slide-netflix-171523623.html?.tsrc=rss,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,en,2023-04-23T17:15:23.000000Z,finance.yahoo.com,,equity,Communication Services,29.198914,-0.118
67e9cc73-4a03-4541-9a38-2d5b058bf9be,"Dow futures tick lower, major earnings ahead",By Oliver Gray,,"By Oliver Gray

Investing.com - U.S. stock futures were trading slightly lower during Sunday's evening deals, after major benchmark averages finished the week i...",https://finance.yahoo.com/news/dow-futures-tick-lower-major-185004619.html?.tsrc=rss,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,en,2023-04-23T18:50:04.000000Z,finance.yahoo.com,,equity,Communication Services,14.380451,0.0
