uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
fc12bdf9-454c-4e6c-a058-5129357a7fa5,2 Movies On The GameStop Drama Are Already In The Works,The story of David versus Goliath turning retail traders against hedge funds has been well covered and documented across the media over the past couple ...,,The story of David versus Goliath turning retail traders against hedge funds has been well covered and documented across the media over the past couple of weeks...,https://www.benzinga.com/news/21/02/19432338/2-movies-on-the-gamestop-drama-are-already-in-the-works,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/popcorn-1433332_1920_13.jpg,en,2021-02-01T23:25:22.000000Z,benzinga.com,,equity,Communication Services,22.547417142857142,-0.5103
51bf80ce-d04b-4e48-a690-7dbc6f61a02f,"Netflix, Sega tap Vancouver animators for Sonic the Hedgehog series",Netflix Inc. (Nasdaq:NFLX) and Sega of America Inc. will keep the Sonic the Hedgehog franchise running with help from Vancouver animators.,,"Promotional art from Netflix's new children series to be animated in Vancouver | submitted

Netflix Inc. (Nasdaq:NFLX) and Sega of America Inc. will keep the So...",https://biv.com/article/2021/02/netflix-sega-tap-vancouver-animators-sonic-hedgehog-series,https://biv.com/themes/custom/biv/images/favicon.ico,en,2021-02-01T19:05:59.000000Z,biv.com,,equity,Communication Services,24.247089571428575,0.267933
c45fc176-09d3-4f5a-9706-741a7cf9d608,GameStop Saga Heads to Netflix and the Big Screen,The streaming company and Hollywood producers are racing to make projects about the uproar on Wall Street.,"Retail/Wholesale, Specialty Retailing, Hobby/Toy/Game Stores, Trusts/Funds/Financial Vehicles, Audiovisual Production, Film/Video Exhibition, Alternative Investments, Media Content Distribution, Financial Services, Hedge Funds, Online Service Providers, Investing/Securities, Leisure/Arts/Hospitality, Media/Entertainment, Streaming Services, Retail, Technology, Corporate/Industrial News, Political/General News, Arts/Entertainment, Movies, SYND, WSJ-PRO-WSJ.com, AMC Entertainment Holdings, AMC, GameStop, GME, Netflix, NFLX, Metro-Goldwyn-Mayer, Ben Mezrich, Mark Boal, Michael De Luca, corporate, industrial news, political, general news, arts, entertainment, movies, retail, wholesale, specialty retailing, hobby, toy, game stores, trusts, funds, financial vehicles, audiovisual production, film, video exhibition, alternative investments, media content distribution, financial services, hedge funds, online service providers, investing, securities, leisure, hospitality, media, streaming services, technology","LOS ANGELES—The ending hasn’t been written yet, but Hollywood is moving quickly to bring the story of the GameStop GME -30.77% investment saga to the screen...",https://www.wsj.com/articles/gamestop-saga-heads-to-netflix-and-the-big-screen-11612218344?mod=pls_whats_news_us_business_f,https://images.wsj.net/im-293378/social,en,2021-02-01T22:25:00.000000Z,online.wsj.com,,equity,Communication Services,18.098022714285715,0.22758785714285715
dfd90df0-4ce0-4326-93b7-4969dcba4ce9,"Chart Of The Day: Ad Growth Could Drive Alphabet Shares Beyond $2,000","Stocks Analysis by Investing.com (Pinchas Cohen/Investing.com) covering: Alphabet Inc Class A, Netflix Inc, Alphabet Inc Class C. Read Investing.com (Pinchas Cohen/Investing.com)'s latest article on Investing.com",,"After Google parent Alphabet (NASDAQ: ) publishes Q4 results on Tuesday, Feb. 2 after the close, we expect the stock will jump significantly.

Consensus calls f...",https://www.investing.com/analysis/chart-of-the-day-ad-growth-could-drive-alphabet-shares-beyond-2000-200557706,https://i-invdn-com.akamaized.net/redesign/images/seo/investingcom_analysis_og.jpg,en,2021-02-01T14:47:00.000000Z,investing.com,,equity,Communication Services,20.157075142857142,0.0
5733dfcd-f76b-44cb-bb24-b57d1126fd22,The 10 Best Movies That Are New To Netflix In February 2021,These are the ten best movies that will be added to Netflix in February 2020.,"new movies netflix, what's coming to netflix in january","LOS ANGELES, CA - JULY 13: Actor Leonardo DiCaprio (L) and writer/director Christopher Nolan arrive ... [+] to premiere of Warner Bros. ""Inception"" at Grauman's...",https://www.forbes.com/sites/travisbean/2021/02/01/the-10-best-movies-that-are-new-to-netflix-in-february-2021/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F60131a25d1528da51522e3a3%2F0x0.jpg%3FcropX1%3D214%26cropX2%3D2826%26cropY1%3D92%26cropY2%3D1562,en,2021-02-01T23:00:00.000000Z,forbes.com,,equity,Communication Services,18.405872,0.32835
e3dd7391-a81a-4d61-a784-ade57968f648,Weekly Corporate Highlights Feb. 1,Weekly Corporate Event Highlights Feb. 1 - 5 2021: Mon 2/1/2021 AT&T Corp (T): Pay date for Quarterly dividend of $0.520...,,"Staying on top of corporate events is critical for any investment firm. Academic research has shown that events, as well as event revisions, can affect volatili...",https://www.tradersinsight.news/traders-insight/securities/macro/weekly-corporate-highlights-feb-1-5-2021/,https://www.tradersinsight.news/wp-content/themes/traders-insight/favicon.png,en,2021-02-01T14:50:00.000000Z,tradersinsight.news,,equity,Communication Services,11.943781857142858,-0.1027
aa426694-77dd-4bcd-a206-d5f034f3d620,GameStop Saga Heads to Netflix and the Big Screen,"By Erich Schwartzel 

     LOS ANGELES -- The ending hasn't been written yet, but Hollywood is moving quickly to bring the story of the GameStop investment saga to the screen. 

     Separate... | February  1,  2021","GAMESTOP CORP. stock exchange, news, information, press release, by, erich, schwartzel, los, angeles, the, ending, been, written, but, hollywood, is, moving, quickly, to, bring, story, of, gamestop, investment, saga, the | GME |","By Erich Schwartzel

LOS ANGELES -- The ending hasn't been written yet, but Hollywood is moving quickly to bring the story of the GameStop investment saga to th...",https://www.marketscreener.com/quote/stock/GAMESTOP-CORP-12790/news/GameStop-Saga-Heads-to-Netflix-and-the-Big-Screen-32330892/,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,en,2021-02-01T22:41:03.000000Z,marketscreener.com,,equity,Communication Services,16.891406285714286,0.3054799999999999
93f7454f-7bdb-4c29-bd8d-e6b1d3915391,How The Pandemic Has Changed Video Content And Consumption,"Consumer spending patterns have been turned upside down by the pandemic—from the demand for jigsaw puzzles climbing 370%, to sales of yeast growing more than 400%, to Peloton sales spiking 172%. But it’s not just the dollar spending that has changed, it’s also another type of currency—our attention.","streaming, video, content consumption","The Netflix Inc. original series ""Cobra Kai"" on a laptop computer arranged in Seattle, Washington, ... [+] U.S., on Saturday, Jan. 23, 2021. Netflix Inc. ended ...",https://www.forbes.com/sites/falonfatemi/2021/02/01/how-the-pandemic-has-changed-video-content-and-consumption/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F60178a71b56f50505277984d%2F0x0.jpg,en,2021-02-01T05:00:01.000000Z,forbes.com,,equity,Communication Services,16.487899714285714,0.39656700000000006
5a55f730-938e-44f7-989e-cff969c2c1d0,Buy Snap Stock Before Q4 Earnings as Long-Term Tech Investment?,"Stocks Analysis by Zacks Investment Research covering: Microsoft Corporation, Walt Disney Company, Apple Inc, Netflix Inc. Read Zacks Investment Research's latest article on Investing.com",,Snap Inc (NYSE: ). SNAP shares have skyrocketed 165% in the last six months as Wall Street dives into the social media company for its ability to attract consum...,https://www.investing.com/analysis/buy-snap-stock-before-q4-earnings-as-longterm-tech-investment-200557797,https://i-invdn-com.akamaized.net/redesign/images/seo/investingcom_analysis_og.jpg,en,2021-02-02T01:01:00.000000Z,investing.com,,equity,Communication Services,23.693940714285713,0.35314999999999996
508b4a4d-5926-49ae-9b0d-c2c327a9e88b,"Netflix, MGM race to produce projects about GameStop saga","The ending hasn’t been written yet, but Hollywood is moving quickly to bring the story of the GameStop investment saga to the screen.","article_normal, Motor Vehicles, Passenger Cars, Retail/Wholesale, Specialty Retailing, Hobby/Toy/Game Stores, Trusts/Funds/Financial Vehicles, Audiovisual Production, Film/Video Exhibition, Alternative Investments, Automotive, Media Content Distribution, Financial Services, Hedge Funds, Online Service Providers, Investing/Securities, Leisure/Arts/Hospitality, Media/Entertainment, Streaming Services, Retail, Technology, Corporate/Industrial News, Netflix Inc., NFLX, GameStop Corp. Cl A, GME, corporate, industrial news, motor vehicles, passenger cars, retail, wholesale, specialty retailing, hobby, toy, game stores, trusts, funds, financial vehicles, audiovisual production, film, video exhibition, alternative investments, automotive, media content distribution, financial services, hedge funds, online service providers, investing, securities, leisure, arts, hospitality, media, entertainment, streaming services, technology","LOS ANGELES — The ending hasn’t been written yet, but Hollywood is moving quickly to bring the story of the GameStop investment saga to the screen.

Separat...",https://www.marketwatch.com/story/netflix-mgm-race-to-produce-projects-about-gamestop-saga-11612281493?siteid=bulletrss,https://images.mktw.net/im-293635/social,en,2021-02-02T16:03:22.000000Z,marketwatch.com,,equity,Communication Services,22.974104285714287,0.14985
